,Predicted Bin,Actual Bin,Change
142,0.0,0.0,0.03332494969818921
143,1.0,0.0,-0.15419461625577144
144,0.0,0.0,0.04218289085545722
145,0.0,0.0,-0.12041605547406323
146,0.0,0.0,-0.009602337960546933
147,0.0,0.0,0.024673913043478216
148,0.0,0.0,-0.08353336533845418
149,1.0,1.0,0.13150147203140344
150,0.0,0.0,0.08090054428500731
151,0.0,0.0,-0.040105327121733786
152,0.0,0.0,-0.05592957017089582
153,0.0,0.0,-0.09974342527261063
154,0.0,0.0,0.033892834086507444
155,0.0,0.0,-0.028227672373900947
156,0.0,0.0,-0.033670033670033635
157,0.0,0.0,-0.13312202852614896
158,0.0,0.0,-0.08250328885547831
159,0.0,0.0,0.013591117917304763
160,0.0,0.0,-0.09184514003294894
161,0.0,0.0,-0.10950819672131147
162,0.0,0.0,0.0
